antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'bottled beer'}),frozenset({'whole milk'}),0.11828512396694214,0.34736570247933884,0.05113636363636364,0.4323144104803494,1.244551224817779,0.0100481684567311,1.1496404164017802,0.22285834324498652
frozenset({'whole milk'}),frozenset({'bottled beer'}),0.34736570247933884,0.11828512396694214,0.05113636363636364,0.14721189591078068,1.244551224817779,0.0100481684567311,1.033920233883577,0.3010836501141211
frozenset({'bottled water'}),frozenset({'other vegetables'}),0.15986570247933884,0.28486570247933884,0.05475206611570248,0.34248788368336025,1.2022784094487498,0.009211810476572636,1.087636683452799,0.20026071724793945
frozenset({'other vegetables'}),frozenset({'bottled water'}),0.28486570247933884,0.15986570247933884,0.05475206611570248,0.19220308250226653,1.2022784094487495,0.009211810476572636,1.0400315714537476,0.2352647573880632
frozenset({'bottled water'}),frozenset({'whole milk'}),0.15986570247933884,0.34736570247933884,0.06869834710743801,0.42972536348949913,1.2370978493913314,0.013166485063349491,1.1444210486268815,0.22812603288115763
frozenset({'whole milk'}),frozenset({'bottled water'}),0.34736570247933884,0.15986570247933884,0.06869834710743801,0.19776951672862453,1.2370978493913314,0.013166485063349491,1.0472480353709817,0.29366600117230146
frozenset({'canned beer'}),frozenset({'whole milk'}),0.11596074380165289,0.34736570247933884,0.05010330578512397,0.4320712694877506,1.24385126799745,0.009822520554436172,1.149148233673635,0.2217609199141044
frozenset({'whole milk'}),frozenset({'canned beer'}),0.34736570247933884,0.11596074380165289,0.05010330578512397,0.14423791821561338,1.24385126799745,0.009822520554436172,1.033043266365575,0.3003908305761691
frozenset({'citrus fruit'}),frozenset({'whole milk'}),0.1337809917355372,0.34736570247933884,0.050878099173553716,0.38030888030888027,1.0948371632386502,0.004407171000956209,1.0531606421049922,0.1000003026918383
frozenset({'whole milk'}),frozenset({'citrus fruit'}),0.34736570247933884,0.1337809917355372,0.050878099173553716,0.14646840148698884,1.09483716323865,0.004407171000956209,1.0148646046304026,0.13272695497761205
frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.2631714876033058,0.28486570247933884,0.08083677685950413,0.3071638861629048,1.0782761262219105,0.005868246170855823,1.032183922342144,0.09852193028133617
frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.28486570247933884,0.2631714876033058,0.08083677685950413,0.28377153218495016,1.0782761262219107,0.005868246170855823,1.0287618343969034,0.10151067789550455
frozenset({'root vegetables'}),frozenset({'other vegetables'}),0.16942148760330578,0.28486570247933884,0.055526859504132234,0.3277439024390244,1.1505207527143269,0.007264488422921933,1.063782537808512,0.15751475182228394
frozenset({'other vegetables'}),frozenset({'root vegetables'}),0.28486570247933884,0.16942148760330578,0.055526859504132234,0.19492293744333636,1.1505207527143269,0.007264488422921933,1.0316757873576055,0.1829423769810275
frozenset({'sausage'}),frozenset({'other vegetables'}),0.14824380165289255,0.28486570247933884,0.05371900826446281,0.3623693379790941,1.2720707857253422,0.011489433568403803,1.1215494174231135,0.25110498204039755
frozenset({'other vegetables'}),frozenset({'sausage'}),0.28486570247933884,0.14824380165289255,0.05371900826446281,0.1885766092475068,1.2720707857253422,0.011489433568403803,1.0497062422087815,0.29907700641720153
frozenset({'other vegetables'}),frozenset({'soda'}),0.28486570247933884,0.2350206611570248,0.07205578512396695,0.2529465095194923,1.076273499845576,0.005106459386312406,1.0239954013881087,0.09909766474964105
