antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'beef'}),frozenset({'whole milk'}),0.039540100953449245,0.19966348850252383,0.010095344924284913,0.2553191489361702,1.2787473105426728,0.0022006304321772682,1.0747376011537537,0.22695863746958636
frozenset({'whole milk'}),frozenset({'beef'}),0.19966348850252383,0.039540100953449245,0.010095344924284913,0.050561797752808994,1.2787473105426728,0.0022006304321772682,1.0116086510667812,0.27236626956318616
frozenset({'bottled beer'}),frozenset({'whole milk'}),0.05215928210880538,0.19966348850252383,0.011217049915872126,0.21505376344086022,1.077081068019814,0.0008027456922407653,1.0196067886200724,0.07550295857988171
frozenset({'whole milk'}),frozenset({'bottled beer'}),0.19966348850252383,0.05215928210880538,0.011217049915872126,0.05617977528089888,1.0770810680198142,0.0008027456922407653,1.004259808241861,0.08941836019621589
frozenset({'bottled water'}),frozenset({'other vegetables'}),0.07319125070106562,0.1511497476163769,0.012338754907459339,0.1685823754789272,1.1153334897177263,0.0012759158362663017,1.0209673542494269,0.11157337367624813
frozenset({'other vegetables'}),frozenset({'bottled water'}),0.1511497476163769,0.07319125070106562,0.012338754907459339,0.0816326530612245,1.1153334897177263,0.0012759158362663017,1.0091917492366174,0.12182028410967957
frozenset({'bottled water'}),frozenset({'yogurt'}),0.07319125070106562,0.1074032529444756,0.010375771172181716,0.1417624521072797,1.3199083660954554,0.0025147927598126382,1.0400346025959457,0.26151204154229873
frozenset({'yogurt'}),frozenset({'bottled water'}),0.1074032529444756,0.07319125070106562,0.010375771172181716,0.09660574412532637,1.3199083660954551,0.0025147927598126382,1.025918355437838,0.27153543741668157
frozenset({'whole milk'}),frozenset({'canned beer'}),0.19966348850252383,0.061413348289399886,0.012619181155356141,0.06320224719101124,1.0291288286901648,0.00035717779527405513,1.0019095892323047,0.03536556879233826
frozenset({'canned beer'}),frozenset({'whole milk'}),0.061413348289399886,0.19966348850252383,0.012619181155356141,0.20547945205479454,1.0291288286901648,0.00035717779527405513,1.0073200920571683,0.030156358928393606
frozenset({'citrus fruit'}),frozenset({'other vegetables'}),0.06814357823892317,0.1511497476163769,0.011217049915872126,0.1646090534979424,1.0890461684112478,0.0009171652633820568,1.0161113858582287,0.08774450797472161
frozenset({'other vegetables'}),frozenset({'citrus fruit'}),0.1511497476163769,0.06814357823892317,0.011217049915872126,0.07421150278293136,1.0890461684112478,0.0009171652633820568,1.006554331321083,0.09632474397092829
frozenset({'citrus fruit'}),frozenset({'whole milk'}),0.06814357823892317,0.19966348850252383,0.014021312394840156,0.20576131687242796,1.030540528043649,0.00041552784461208747,1.0076775766522628,0.031802588022870816
frozenset({'whole milk'}),frozenset({'citrus fruit'}),0.19966348850252383,0.06814357823892317,0.014021312394840156,0.0702247191011236,1.030540528043649,0.00041552784461208747,1.0022383267279256,0.03702873160476515
frozenset({'frankfurter'}),frozenset({'whole milk'}),0.04683118339876612,0.19966348850252383,0.010375771172181716,0.2215568862275449,1.1096514835497544,0.0010252937240825908,1.0281245955390654,0.10367119104983182
frozenset({'whole milk'}),frozenset({'frankfurter'}),0.19966348850252383,0.04683118339876612,0.010375771172181716,0.05196629213483146,1.1096514835497544,0.0010252937240825908,1.0054165887704867,0.12346824750468759
frozenset({'pastry'}),frozenset({'other vegetables'}),0.062254627033090294,0.1511497476163769,0.010095344924284913,0.16216216216216217,1.0728576442862157,0.0006855737602816415,1.0131438496191632,0.07241826156299852
frozenset({'other vegetables'}),frozenset({'pastry'}),0.1511497476163769,0.062254627033090294,0.010095344924284913,0.06679035250463822,1.0728576442862157,0.0006855737602816415,1.0048603499585773,0.0800022024006168
frozenset({'pip fruit'}),frozenset({'other vegetables'}),0.0630959057767807,0.1511497476163769,0.013740886146943354,0.2177777777777778,1.440808080808081,0.004203955913156254,1.0851778794677,0.32654893744387914
frozenset({'other vegetables'}),frozenset({'pip fruit'}),0.1511497476163769,0.0630959057767807,0.013740886146943354,0.09090909090909091,1.440808080808081,0.004203955913156254,1.0305945036455413,0.36042286091840114
frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.13740886146943354,0.1511497476163769,0.023836231071228266,0.17346938775510204,1.1476657453333838,0.003066916339869691,1.0270040090567292,0.14916239577755674
frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.1511497476163769,0.13740886146943354,0.023836231071228266,0.15769944341372913,1.1476657453333838,0.003066916339869691,1.0240894794448796,0.15157698361802593
frozenset({'other vegetables'}),frozenset({'root vegetables'}),0.1511497476163769,0.09001682557487381,0.01514301738642737,0.10018552875695733,1.1129644721099994,0.0015369969195577725,1.0113008886910164,0.11957200014682669
frozenset({'root vegetables'}),frozenset({'other vegetables'}),0.09001682557487381,0.1511497476163769,0.01514301738642737,0.16822429906542055,1.1129644721099994,0.0015369969195577725,1.0205278315173896,0.11153912001369627
frozenset({'soda'}),frozenset({'other vegetables'}),0.11833987661245092,0.1511497476163769,0.019068984856982614,0.16113744075829384,1.066078133105892,0.0011819423740574743,1.0119062330674828,0.07030197575213296
frozenset({'other vegetables'}),frozenset({'soda'}),0.1511497476163769,0.11833987661245092,0.019068984856982614,0.1261595547309833,1.0660781331058922,0.0011819423740574743,1.0089486337704647,0.0730192969159914
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.1511497476163769,0.19966348850252383,0.03729669097027482,0.24675324675324675,1.2358456150590982,0.007117605074912974,1.062515713539753,0.22481873663345692
frozenset({'whole milk'}),frozenset({'other vegetables'}),0.19966348850252383,0.1511497476163769,0.03729669097027482,0.18679775280898878,1.2358456150590982,0.007117605074912974,1.043836579787806,0.23844650167816187
frozenset({'yogurt'}),frozenset({'other vegetables'}),0.1074032529444756,0.1511497476163769,0.018227706113292205,0.16971279373368148,1.122812286557158,0.001993731537556831,1.0223573794431688,0.12254041905314306
frozenset({'other vegetables'}),frozenset({'yogurt'}),0.1511497476163769,0.1074032529444756,0.018227706113292205,0.12059369202226346,1.122812286557158,0.001993731537556831,1.0149992545631386,0.12885568346420692
frozenset({'rolls/buns'}),frozenset({'tropical fruit'}),0.13740886146943354,0.09282108805384184,0.014582164890633763,0.10612244897959183,1.143301066650225,0.0018277248608013167,1.0148805179306335,0.1453060918275482
frozenset({'tropical fruit'}),frozenset({'rolls/buns'}),0.09282108805384184,0.13740886146943354,0.014582164890633763,0.15709969788519637,1.143301066650225,0.0018277248608013167,1.0233608130954033,0.13816430864344303
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.13740886146943354,0.19966348850252383,0.028042624789680313,0.2040816326530612,1.0221279523045173,0.000607092157533181,1.0055510016250342,0.025097529258777673
